,Exp. m/z,Abundance
1372,459.05175,4110359
1374,459.06065,3498011
1376,459.08842999999996,2752550
1378,459.09674,3716138
1381,459.13313,4535353
1385,460.0521,4431278
1386,460.06021,7093681
1387,460.08862,2095548
1390,461.03103,5093179
1392,461.05735999999996,2758470
1393,461.06748,4616010
1395,461.07609,3459917
1396,461.10394,2656089
1398,461.11238,4302684
1400,461.14890999999994,3932011
1402,462.03146,2972882
1404,462.06777999999997,4640993
1406,462.10427000000004,2227951
1407,462.1122,3171570
1409,462.99772,2512986
1410,463.01035999999993,2977888
1412,463.03085,2265704
1413,463.03393,2767465
1414,463.04669,6599278
1416,463.08311,3313277
1418,463.09197,2886273
1419,463.11928,2296460
1421,463.12817,3470991
1425,464.04715,3412997
1426,464.05512999999996,10195976
1427,464.08364000000006,3075092
1429,464.11976,2229282
1431,464.16413,2309685
1432,464.99483,3936646
1434,465.01320999999996,2629006
1435,465.02589000000006,6049171
1438,465.04967,2646428
1439,465.06233,5801378
1441,465.08289,2696106
1442,465.09857999999997,3855792
1444,465.10765,2250164
1445,465.13517,2030015
1449,465.30435,10036740
1450,466.02647,2328362
1452,466.06295,3310392
1454,466.09925999999996,2048839
1455,466.10715,5594954
1458,466.30780999999996,3225500
1459,466.99269000000004,3322034
1462,467.02907999999996,3848385
1463,467.04135,6103238
1466,467.0652,3071184
1467,467.07773,3956949
1470,467.10184000000004,2194655
1471,467.11431,3087588
1473,467.13800999999995,1999597
1475,467.1923,5146884
1476,468.05009,7879264
1477,468.06544,2276966
1478,468.07811,2447979
1483,469.00833,4040677
1484,469.0184,2397161
1486,469.0363,2460657
1488,469.04461,4930548
1491,469.07274,2299903
1493,469.08114000000006,4624387
1494,469.09332,3374088
1497,469.11745,3936274
1498,469.12959000000006,2071574
1499,469.13320999999996,2935832
1501,469.15369000000004,2852896
1503,469.20819000000006,2052150
1505,470.03648,2935175
1508,470.08107,2123161
1509,470.10217,4687265
1512,470.99753,2073357
1516,471.02394000000004,5230360
1517,471.03630999999996,2625308
1519,471.05174000000005,3093283
1522,471.07275,2426667
1525,471.09673,3983157
1528,471.13307000000003,4114244
1531,471.16930999999994,2480466
1533,472.0451,2599094
1534,472.05217000000005,4407481
1535,472.06028,3176636
1540,473.00333,2737722
1542,473.03101,4018757
1544,473.03981,4805193
1546,473.06735999999995,3347028
1548,473.07615999999996,4067928
1551,473.11231,5120614
1553,473.13721,2022512
1555,473.14878,4242037
1556,473.28257,1999019
1558,474.03149,2737115
1560,474.06769,4071401
1562,474.10417,2123256
