,Exp. m/z,Theor. Mass,Error,Abundance,Signal2Noise,DBE,Cno,Hno,Nno,Ono,Sno,13Cno,18Ono,Formula,HeteroClass
138,444.02889000000005,444.02889000000005,0,3757170,0,15.0,19,12,0,12,0,1,0,13C1 12C19 H12 O12,O12
139,444.08640999999994,444.08640999999994,0,3902601,0,9.0,17,20,0,13,0,1,0,13C1 12C17 H20 O13,O13
140,444.1015,444.1015,0,2213007,0,13.0,21,20,0,10,0,1,0,13C1 12C21 H20 O10,O10
141,446.04465,446.04465,0,6334359,0,14.0,19,14,0,12,0,1,0,13C1 12C19 H14 O12,O12
142,446.11720999999994,446.11720999999994,0,2362292,0,12.0,21,22,0,10,0,1,0,13C1 12C21 H22 O10,O10
143,446.15376,446.15376,0,2083779,0,11.0,22,26,0,9,0,1,0,13C1 12C22 H26 O9,O9
144,448.0238,448.0238,0,4780720,0,14.0,18,12,0,13,0,1,0,13C1 12C18 H12 O13,O13
145,448.09657000000004,448.09657000000004,0,5661389,0,12.0,20,20,0,11,0,1,0,13C1 12C20 H20 O11,O11
146,448.13274,448.13274,0,3258076,0,11.0,21,24,0,10,0,1,0,13C1 12C21 H24 O10,O10
147,450.03949000000006,450.03949000000006,0,9956826,0,13.0,18,14,0,13,0,1,0,13C1 12C18 H14 O13,O13
148,450.07582,450.07582,0,9784809,0,12.0,19,18,0,12,0,1,0,13C1 12C19 H18 O12,O12
149,450.14856,450.14856,0,3358214,0,10.0,21,26,0,10,0,1,0,13C1 12C21 H26 O10,O10
150,452.01882,452.01882,0,4647160,0,13.0,17,12,0,14,0,1,0,13C1 12C17 H12 O14,O14
151,452.09155,452.09155,0,6705429,0,11.0,19,20,0,12,0,1,0,13C1 12C19 H20 O12,O12
152,452.12774,452.12774,0,4448548,0,10.0,20,24,0,11,0,1,0,13C1 12C20 H24 O11,O11
153,454.03442,454.03442,0,5880870,0,12.0,17,14,0,14,0,1,0,13C1 12C17 H14 O14,O14
154,454.04969000000006,454.04969000000006,0,2149420,0,16.0,21,14,0,11,0,1,0,13C1 12C21 H14 O11,O11
155,454.07086,454.07086,0,8055861,0,11.0,18,18,0,13,0,1,0,13C1 12C18 H18 O13,O13
156,454.14367000000004,454.14367000000004,0,4330579,0,9.0,20,26,0,11,0,1,0,13C1 12C20 H26 O11,O11
157,454.17997,454.17997,0,2609249,0,8.0,21,30,0,10,0,1,0,13C1 12C21 H30 O10,O10
158,456.02877,456.02877,0,3532621,0,16.0,20,12,0,12,0,1,0,13C1 12C20 H12 O12,O12
159,456.08644000000004,456.08644000000004,0,4980581,0,10.0,18,20,0,13,0,1,0,13C1 12C18 H20 O13,O13
160,456.12289000000004,456.12289000000004,0,4611956,0,9.0,19,24,0,12,0,1,0,13C1 12C19 H24 O12,O12
161,458.04465999999996,458.04465999999996,0,4663935,0,15.0,20,14,0,12,0,1,0,13C1 12C20 H14 O12,O12
162,458.06567,458.06567,0,3527303,0,10.0,17,18,0,14,0,1,0,13C1 12C17 H18 O14,O14
163,460.02395,460.02395,0,4746658,0,15.0,19,12,0,13,0,1,0,13C1 12C19 H12 O13,O13
164,460.13295,460.13295,0,2430414,0,12.0,22,24,0,10,0,1,0,13C1 12C22 H24 O10,O10
165,462.03958,462.03958,0,8728789,0,14.0,19,14,0,13,0,1,0,13C1 12C19 H14 O13,O13
166,462.0759,462.0759,0,7215332,0,13.0,20,18,0,12,0,1,0,13C1 12C20 H18 O12,O12
167,462.14878,462.14878,0,2749697,0,11.0,22,26,0,10,0,1,0,13C1 12C22 H26 O10,O10
168,464.01864000000006,464.01864000000006,0,4903929,0,14.0,18,12,0,14,0,1,0,13C1 12C18 H12 O14,O14
169,464.0915,464.0915,0,5663767,0,12.0,20,20,0,12,0,1,0,13C1 12C20 H20 O12,O12
170,464.12789000000004,464.12789000000004,0,3310630,0,11.0,21,24,0,11,0,1,0,13C1 12C21 H24 O11,O11
171,466.03442,466.03442,0,7305005,0,13.0,18,14,0,14,0,1,0,13C1 12C18 H14 O14,O14
172,466.07084000000003,466.07084000000003,0,9484091,0,12.0,19,18,0,13,0,1,0,13C1 12C19 H18 O13,O13
173,466.14360999999997,466.14360999999997,0,3723097,0,10.0,21,26,0,11,0,1,0,13C1 12C21 H26 O11,O11
174,466.17995,466.17995,0,2431848,0,9.0,22,30,0,10,0,1,0,13C1 12C22 H30 O10,O10
175,468.08648,468.08648,0,7303791,0,11.0,19,20,0,13,0,1,0,13C1 12C19 H20 O13,O13
176,468.12282999999996,468.12282999999996,0,5358206,0,10.0,20,24,0,12,0,1,0,13C1 12C20 H24 O12,O12
177,468.15855,468.15855,0,2047628,0,9.0,21,28,0,11,0,1,0,13C1 12C21 H28 O11,O11
