,Exp. m/z,Theor. Mass,Error,Abundance,DBE,Cno,Hno,Nno,Ono,Sno,Formula,HeteroClass
166,315.01467,315.0146435799,0.08386943453641116,2343492,12.0,15,8,0,8,0,C15H8O8,O8
167,315.03575,315.0357735799,-0.0748483251556087,8940621,7.0,12,12,0,10,0,C12H12O10,O10
168,315.051,315.0510285799,-0.09071514583766911,4567123,11.0,16,12,0,7,0,C16H12O7,O7
169,315.07215,315.0721585799,-0.027231539709051174,15101020,6.0,13,16,0,9,0,C13H16O9,O9
170,315.08732000000003,315.08741357990004,-0.2969966300688945,2626146,10.0,17,16,0,6,0,C17H16O6,O6
171,315.10856,315.1085435799,0.052109345591183354,8621162,5.0,14,20,0,8,0,C14H20O8,O8
172,317.03022000000004,317.0302935799,-0.23209106964605752,6511481,11.0,15,10,0,8,0,C15H10O8,O8
173,317.05144,317.0514235799,0.051790021349648496,4298625,6.0,12,14,0,10,0,C12H14O10,O10
174,317.08775,317.0878085799,-0.18474346348220758,3444624,5.0,13,18,0,9,0,C13H18O9,O9
175,317.10303999999996,317.10306357990004,-0.07436036664924589,3016086,9.0,17,18,0,6,0,C17H18O6,O6
176,319.00957,319.00955857990004,0.03579861369282302,3988119,11.0,14,8,0,9,0,C14H8O9,O9
177,319.04594,319.04594357990004,-0.01122064122453164,11096741,10.0,15,12,0,8,0,C15H12O8,O8
178,319.08235,319.08232857990004,0.06713032363417759,6077108,9.0,16,16,0,7,0,C16H16O7,O7
179,319.11865,319.11871357990003,-0.19923588722205937,3462339,8.0,17,20,0,6,0,C17H20O6,O6
180,320.98883,320.98882357990004,0.02000100780127487,2069421,11.0,13,6,0,10,0,C13H6O10,O10
181,321.0252,321.02520857990004,-0.026726561731344477,10868156,10.0,14,10,0,9,0,C14H10O9,O9
182,321.06158999999997,321.06159357990003,-0.011150197154183503,13534666,9.0,15,14,0,8,0,C15H14O8,O8
183,321.09796,321.09797857990003,-0.05786364682628345,9266649,8.0,16,18,0,7,0,C16H18O7,O7
184,321.13437000000005,321.1343635799,0.01999194340281085,4796903,7.0,17,22,0,6,0,C17H22O6,O6
185,323.00445,323.00447357990004,-0.07300177534762295,7223499,10.0,13,8,0,10,0,C13H8O10,O10
186,323.04085,323.04085857990003,-0.026559798324416312,16136409,9.0,14,12,0,9,0,C14H12O9,O9
187,323.07723,323.0772435799,-0.04203298224081268,18450664,8.0,15,16,0,8,0,C15H16O8,O8
188,323.1136,323.1136285799,-0.08845154606923679,12581110,7.0,16,20,0,7,0,C16H20O7,O7
189,323.15,323.1500135799,-0.04202351685325543,3153157,6.0,17,24,0,6,0,C17H24O6,O6
190,325.02012,325.02012357990003,-0.011014394957390239,10480610,9.0,13,10,0,10,0,C13H10O10,O10
191,325.05647,325.0565085799,-0.11868674835669707,20274160,8.0,14,14,0,9,0,C14H14O9,O9
192,325.09287,325.0928935799,-0.07253280672147852,24341502,7.0,15,18,0,8,0,C15H18O8,O8
193,325.12926,325.1292785799,-0.057146191540590155,10175500,6.0,16,22,0,7,0,C16H22O7,O7
194,326.99929,326.9993885799,-0.3014681479457465,2004195,9.0,12,8,0,11,0,C12H8O11,O11
195,327.01464,327.0146435799,-0.010947216219490552,2288361,13.0,16,8,0,8,0,C16H8O8,O8
196,327.03576,327.0357735799,-0.041524203585290236,15683313,8.0,13,12,0,10,0,C13H12O10,O10
197,327.07214,327.0721585799,-0.05680673069163728,22331136,7.0,14,16,0,9,0,C14H16O9,O9
198,327.10851,327.1085435799,-0.10265675003107104,19930894,6.0,15,20,0,8,0,C15H20O8,O8
199,327.14491,327.1449285799,-0.05679409462293717,3774236,5.0,16,24,0,7,0,C16H24O7,O7
200,329.01501,329.0150385799,-0.08686502637475269,2012140,8.0,12,10,0,11,0,C12H10O11,O11
201,329.03026,329.0302935799,-0.10205716812867001,5060082,12.0,16,10,0,8,0,C16H10O8,O8
202,329.05141000000003,329.0514235799,-0.04126984116105417,13324794,7.0,13,14,0,10,0,C13H14O10,O10
203,329.06665,329.06667857990004,-0.08685139493343529,3423744,11.0,17,14,0,7,0,C17H14O7,O7
204,329.08779,329.0878085799,-0.05645879168042715,13644296,6.0,14,18,0,9,0,C14H18O9,O9
205,329.12417,329.1241935799,-0.07164438372055651,5433878,5.0,15,22,0,8,0,C15H22O8,O8
206,331.03064,331.0306885799,-0.14675346330784664,3656943,7.0,12,12,0,11,0,C12H12O11,O11
207,331.04591,331.04594357990004,-0.10143576956425747,7896309,11.0,16,12,0,8,0,C16H12O8,O8
208,331.06708,331.0670735799,0.019392142791856925,5141757,6.0,13,16,0,10,0,C13H16O10,O10
209,331.10343,331.1034585799,-0.08631712917319632,3340555,5.0,14,20,0,9,0,C14H20O9,O9
210,333.0252,333.02520857990004,-0.025763515293677625,8060900,11.0,15,10,0,9,0,C15H10O9,O9
211,333.06158999999997,333.06159357990003,-0.010748462554849993,9934833,10.0,16,14,0,8,0,C16H14O8,O8
212,333.09794,333.09797857990003,-0.11582147751243406,5275647,9.0,17,18,0,7,0,C17H18O7,O7
213,333.1344,333.1343635799,0.10932555744508965,2794509,8.0,18,22,0,6,0,C18H22O6,O6
214,335.00457,335.00447357990004,0.2878173504202251,3725005,11.0,14,8,0,10,0,C14H8O10,O10
215,335.04085,335.04085857990003,-0.02560851858724065,14920410,10.0,15,12,0,9,0,C15H12O9,O9
216,335.07723,335.0772435799,-0.04052767026706929,11008744,9.0,16,16,0,8,0,C16H16O8,O8
