m/z	I
397.22664	4087896
398.04455	5101942
398.07301	2015616
398.08097	4939139
398.11732	5198224
398.15379	2076572
398.9994	2613956
399.00281	2266821
399.01262	2069705
399.02056	10142411
399.03582	8671953
399.0393	3335890
399.05312	3182295
399.05689	24990424
399.07214	5792478
399.0755	3174111
399.08933	2477796
399.09329	21312228
399.10842	2657002
399.11193	2548460
399.12961	13398770
399.16603	2920191
400.02366	2202667
400.03906	2423857
400.06024	4574264
400.0967	3749957
400.13314	2258002
401.01504	9786759
401.01854	3130761
401.03616	11814287
401.04773	1989523
401.05137	13469076
401.05489	3502486
401.07252	14505372
401.08776	6606241
401.09125	3679650
401.10895	9528745
401.12422	3059118
401.12745	2696623
401.1453	4132277
402.0546	3746550
402.07592	2743037
402.99426	4810817
403.02695	2978893
403.03064	20789326
403.05185	5195861
403.06324	2835545
403.06704	17991770
403.07045	2797660
403.08819	5216354
403.10344	9410663
403.10684	4159593
403.12464	2817135
403.13981	5023861
404.03405	4294065
404.0624	3375547
404.07046	3942845
404.09869	2076615
405.00992	11004682
405.04243	4414230
405.04632	31603480
405.04999	3109656
405.0827	20478756
405.08616	2616101
405.11911	11299633
405.12249	2998066
405.15547	6290238
406.0134	2136174
406.0415	2937977
406.04967	6079612
406.07793	2228357
406.08597	4785288
406.12251	3353749
406.15866	2017442
406.98917	3243466
407.02145	3702229
407.02561	27393494
407.04075	2252252
407.05796	5129698
407.06196	34692580
407.09423	2872815
407.09837	19758576
407.13064	2262524
407.13475	15965694
407.17116	4759051
408.02888	5545789
408.05721	3286855
408.06528	7550794
408.09355	2509652
408.1018	4327255
408.13818	2905956
409.00485	7702682
409.02003	2813087
409.03721	4976806
409.04125	40681640
409.0564	3693740
409.07348	4120754
409.0776	29687988
409.09621	2214075
409.10994	2348223
409.11401	24436928
409.15034	14008526
409.18692	2946267
410.04458	7023119
410.07288	2981401
410.081	6466076
410.11736	5558825
410.15374	3161654
410.99924	2177894
411.0125	2666347
411.01648	2720620
411.02051	19227502
411.03574	6288243
411.03919	3651444
411.05273	5307257
411.05687	37061500
411.07202	3254144
411.07543	4112257
411.08926	3446662
411.09328	29303688
411.11198	2067855
411.12548	2651027
411.12967	21562260
411.16608	7328674
412.02388	3223767
412.05203	2108642
412.06022	6692069
412.08845	2168559
412.09661	6821106
412.133	4304127
413.01503	7939646
413.01848	3398207
413.03219	3039300
413.03615	22726214
413.05139	11150923
413.05491	4316748
413.06842	3354193
413.07257	26273362
413.08776	5754456
413.09127	3471962
413.105	2721375
413.10894	21784160
413.12418	2008165
413.12759	2700903
413.14532	11196013
413.18169	2456186
414.03942	3317681
414.04672	1982388
414.05466	2117047
414.07589	4543423
414.11228	4653004
414.14863	2151385
414.99433	4548877
414.99769	2573070
415.00734	2891026
415.01543	4905237
415.02636	2307353
415.03069	16120090
415.03413	4649244
415.04766	2381600
415.05179	18352418
415.06278	2000166
415.06703	13310247
415.07047	4417833
415.08818	15612207
415.10336	7418165
415.10691	4550966
415.12458	10373436
415.13974	4084034
415.14319	3770691
415.16085	3457354
416.02567	2225541
416.03415	2768520
416.05519	3723920
416.0704	3478166
416.09146	2886301
416.12789	2693803
417.00563	2121708
417.00995	12635117
417.01342	2567663
417.03106	4451317
417.04214	3959801
417.04631	29428730
417.04982	3531772
417.06746	6601731
417.07859	2694151
417.0827	16194568
417.08608	3420169
417.10386	5088272
417.11909	8746005
417.1225	3958807
417.15542	4767779
418.01324	2416990
418.04147	2769256
418.04967	5330284
418.07803	2846070
418.08604	3779961
418.98924	2985670
419.02152	3336914
419.02561	30142162
419.05773	4448991
419.06196	35229408
419.07321	2010341
419.09414	2898668
419.09835	19164910
419.10194	3262191
419.13469	11079419
419.13807	2730749
419.17117	4871945
420.02897	5312582
420.05726	3997777
420.06531	7811156
420.09366	2306142
420.1016	3674209
420.13786	2174575
420.99689	2481581
421.00486	10191280
421.03695	5185980
421.04124	45060540
421.07341	4033994
421.07766	31027660
421.10972	2700759
421.11402	18112984
421.11763	2395610
421.14606	2019813
421.15038	13636070
421.18685	3677684
422.00841	1977126
422.03659	2055472
422.04456	8756019
422.0729	3640126
422.08099	6908737
422.10921	2131276
422.11738	4664143
422.15377	2752348
423.00278	2823322
423.01289	2141853
423.01614	2985118
423.02049	24319136
423.03567	3880102
423.03912	2108071
423.05253	6329516
423.05688	43078828
423.07212	2324659
423.0755	2548917
423.08882	3865786
423.09326	28628156
423.12533	2626759
423.12967	21722312
423.16609	9991383
424.02383	4032024
424.05214	2618915
424.06023	8740390
424.08871	1976369
424.09665	5791284
424.13306	5336642
424.16929	2751567
424.99181	1971077
424.99981	3053960
425.01496	4595598
425.01845	4128655
425.02839	2043795
425.03189	4906900
425.03614	32225174
425.05138	5826460
425.05476	3504029
425.06823	4627362
425.07255	35411876
425.0876	2499497
425.09103	3468202
425.10447	3274671
425.10893	27457456
425.12749	2114488
425.14091	2675133
425.1453	17663934
425.18167	4970445
425.25789	2572265
426.03949	6324497
426.0678	2162972
426.07585	6713631
426.1043	2012969
426.11228	5929261
426.14867	3048762
426.9946	3043451
426.9978	3015292
427.01541	10316419
427.02605	2612871
427.03062	13224585
427.0341	4760202
427.04405	2249358
427.0474	4198031
427.05179	28342928
427.06703	9140887
427.07046	4035224
427.08087	1980060
427.08388	3264157
427.08819	24787614
427.10341	3974821
427.10692	3394214
427.1205	2711723
427.12461	18356908
427.13953	2026162
427.14319	3408564
427.16093	8078011
428.02582	2505732
428.05514	4797455
428.09153	4635677
428.12796	4023339
429.00989	11505020
429.01338	4773245
429.02663	2357634
429.03107	11738500
429.04179	3107208
429.04634	18800010
429.04981	4789643
429.06307	2602384
429.06746	17374610
429.08271	10608024
429.08617	4349337
429.09923	2136478
429.10389	13794720
429.11902	5395878
429.12253	4978087
429.14024	7110062
429.15544	2075060
429.15887	2728373
429.17656	2280892
430.03442	2400005
430.04173	3281672
430.04966	3480331
430.07093	3536659
430.07777	2731286
430.08594	2509081
430.10703	2110753
430.98919	4265076
431.02107	3128448
